

Software Version,3.11.19



Experiment File Path:,C:\Users\cremerlab\Desktop\griffin\useless_expression\Experiment2_SingleKOs.xpt
Protocol File Path:,C:\Users\cremerlab\Desktop\griffin\useless_expression\growth_curves.prt



Plate Number,Plate 7
Date,9/2/2021
Time,11:07:10 AM
Reader Type:,Epoch 2
Reader Serial Number:,2107064
Reading Type,Reader

Procedure Details

Plate Type,96 WELL PLATE (Use plate lid)
Eject plate on completion,
Set Temperature,Setpoint 37°C, Gradient 0 °C
,Preheat before moving to next step
Start Kinetic,Runtime 12:00:00 (HH:MM:SS), Interval 0:07:32, 96 Reads
    Shake,Linear: Continuous
,Frequency: 1096 cpm (1 mm)
    Read,OD600
,Absorbance Endpoint
,B2..G11
,Wavelengths:  600
,Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic,

OD600:600

Time,T° OD600:600,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1:22:24,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.079,0.078,0.077,0.081,0.081,0.080,0.079,,,0.079,0.087,0.085,0.087,0.087,0.108,0.086,0.085,0.086,0.082,,,0.079,0.087,0.083,0.084,0.087,0.109,0.086,0.083,0.086,0.081,,,0.081,0.084,0.083,0.089,0.088,0.110,0.085,0.084,0.087,0.080,,,0.081,0.094,0.095,0.095,0.105,0.105,0.104,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
1:29:56,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.085,0.087,0.087,0.109,0.086,0.085,0.086,0.082,,,0.079,0.087,0.083,0.084,0.087,0.109,0.086,0.083,0.086,0.081,,,0.081,0.084,0.083,0.089,0.088,0.111,0.086,0.084,0.087,0.081,,,0.081,0.094,0.095,0.095,0.105,0.106,0.104,0.087,0.087,0.085,,,0.081,0.080,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
1:37:28,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.079,0.078,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.085,0.087,0.087,0.109,0.086,0.085,0.086,0.082,,,0.079,0.087,0.083,0.084,0.087,0.110,0.086,0.083,0.086,0.081,,,0.081,0.084,0.083,0.089,0.088,0.112,0.085,0.084,0.087,0.081,,,0.081,0.094,0.095,0.095,0.106,0.106,0.105,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
1:45:00,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.077,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.085,0.087,0.086,0.110,0.086,0.085,0.086,0.082,,,0.079,0.087,0.083,0.084,0.087,0.110,0.086,0.083,0.086,0.081,,,0.081,0.083,0.083,0.089,0.088,0.112,0.085,0.084,0.087,0.081,,,0.081,0.094,0.095,0.095,0.106,0.106,0.105,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
1:52:32,36.9,,,,,,,,,,,,,,0.079,0.080,0.080,0.079,0.078,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.084,0.087,0.087,0.110,0.086,0.085,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.111,0.086,0.083,0.086,0.081,,,0.081,0.084,0.083,0.089,0.088,0.113,0.085,0.084,0.087,0.080,,,0.081,0.094,0.095,0.095,0.107,0.107,0.106,0.087,0.087,0.085,,,0.081,0.080,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
2:00:04,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.080,0.078,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.084,0.086,0.086,0.111,0.086,0.086,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.111,0.086,0.084,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.113,0.085,0.084,0.087,0.081,,,0.081,0.094,0.095,0.095,0.107,0.107,0.106,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
2:07:36,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.079,0.078,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.085,0.087,0.086,0.111,0.086,0.086,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.112,0.086,0.084,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.114,0.085,0.085,0.087,0.081,,,0.081,0.094,0.095,0.095,0.108,0.108,0.107,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
2:15:08,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.077,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.084,0.087,0.086,0.112,0.086,0.086,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.112,0.086,0.084,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.114,0.085,0.085,0.087,0.080,,,0.081,0.094,0.095,0.095,0.108,0.108,0.107,0.087,0.087,0.085,,,0.081,0.080,0.079,0.079,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
2:22:40,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.077,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.084,0.086,0.086,0.112,0.086,0.086,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.113,0.086,0.084,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.115,0.085,0.085,0.087,0.081,,,0.081,0.094,0.095,0.095,0.109,0.109,0.107,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
2:30:12,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.077,0.078,0.081,0.081,0.080,0.079,,,0.079,0.086,0.084,0.086,0.086,0.113,0.086,0.086,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.113,0.086,0.084,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.116,0.085,0.085,0.087,0.081,,,0.081,0.094,0.095,0.095,0.109,0.110,0.108,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
2:37:44,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.080,0.078,0.078,0.081,0.081,0.081,0.079,,,0.079,0.087,0.085,0.087,0.086,0.114,0.086,0.087,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.114,0.086,0.085,0.086,0.081,,,0.081,0.084,0.083,0.089,0.087,0.116,0.085,0.086,0.087,0.081,,,0.081,0.094,0.095,0.095,0.110,0.110,0.109,0.087,0.087,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
2:45:16,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.080,0.077,0.078,0.081,0.081,0.081,0.079,,,0.079,0.087,0.085,0.086,0.086,0.114,0.086,0.087,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.115,0.086,0.085,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.117,0.085,0.086,0.087,0.081,,,0.081,0.094,0.095,0.095,0.110,0.111,0.109,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
2:52:48,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.079,0.078,0.078,0.081,0.081,0.081,0.079,,,0.080,0.086,0.084,0.086,0.086,0.115,0.086,0.087,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.115,0.086,0.085,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.118,0.085,0.086,0.087,0.081,,,0.081,0.094,0.095,0.095,0.111,0.111,0.110,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
3:00:20,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.077,0.078,0.081,0.081,0.081,0.079,,,0.079,0.087,0.084,0.086,0.086,0.116,0.086,0.087,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.116,0.086,0.085,0.086,0.081,,,0.081,0.083,0.083,0.089,0.088,0.118,0.085,0.086,0.087,0.081,,,0.081,0.094,0.095,0.096,0.112,0.112,0.111,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
3:07:52,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.080,0.078,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.084,0.086,0.086,0.116,0.086,0.087,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.117,0.086,0.085,0.086,0.081,,,0.081,0.083,0.083,0.089,0.087,0.119,0.085,0.086,0.087,0.081,,,0.081,0.094,0.095,0.095,0.112,0.112,0.111,0.087,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
3:15:24,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.079,0.078,0.078,0.081,0.081,0.081,0.079,,,0.080,0.087,0.084,0.086,0.086,0.117,0.086,0.087,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.118,0.086,0.086,0.086,0.081,,,0.081,0.083,0.082,0.089,0.088,0.120,0.085,0.086,0.087,0.081,,,0.081,0.094,0.095,0.095,0.113,0.113,0.112,0.086,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
3:22:56,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.079,0.077,0.078,0.081,0.081,0.080,0.079,,,0.079,0.087,0.084,0.086,0.086,0.117,0.086,0.088,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.118,0.086,0.086,0.086,0.081,,,0.081,0.084,0.083,0.089,0.088,0.120,0.085,0.087,0.087,0.081,,,0.081,0.094,0.095,0.096,0.113,0.114,0.113,0.086,0.087,0.085,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
3:30:28,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.080,0.077,0.078,0.081,0.081,0.081,0.079,,,0.079,0.086,0.084,0.086,0.086,0.118,0.086,0.088,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.119,0.086,0.086,0.086,0.081,,,0.081,0.083,0.082,0.088,0.088,0.121,0.085,0.087,0.087,0.081,,,0.081,0.094,0.095,0.095,0.114,0.114,0.113,0.086,0.086,0.084,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
3:38:00,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.078,0.078,0.081,0.082,0.081,0.079,,,0.080,0.087,0.084,0.086,0.086,0.119,0.086,0.089,0.086,0.082,,,0.079,0.087,0.083,0.084,0.087,0.120,0.086,0.086,0.086,0.081,,,0.082,0.084,0.083,0.089,0.088,0.122,0.085,0.087,0.087,0.081,,,0.081,0.095,0.095,0.096,0.115,0.115,0.114,0.087,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
3:45:32,37.0,,,,,,,,,,,,,,0.079,0.081,0.080,0.080,0.078,0.078,0.081,0.081,0.081,0.079,,,0.079,0.087,0.084,0.086,0.086,0.120,0.086,0.089,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.121,0.086,0.086,0.086,0.081,,,0.082,0.084,0.083,0.089,0.088,0.123,0.085,0.087,0.087,0.081,,,0.081,0.094,0.095,0.096,0.115,0.116,0.115,0.086,0.087,0.084,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
3:53:04,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.080,0.078,0.078,0.081,0.081,0.081,0.079,,,0.080,0.086,0.084,0.086,0.086,0.121,0.086,0.089,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.121,0.086,0.087,0.086,0.081,,,0.082,0.084,0.083,0.088,0.088,0.124,0.085,0.087,0.087,0.081,,,0.081,0.094,0.095,0.096,0.116,0.117,0.116,0.086,0.086,0.084,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
4:00:36,37.0,,,,,,,,,,,,,,0.079,0.080,0.080,0.080,0.078,0.078,0.081,0.081,0.081,0.079,,,0.079,0.086,0.084,0.086,0.086,0.122,0.086,0.089,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.122,0.086,0.087,0.086,0.081,,,0.081,0.084,0.082,0.089,0.088,0.125,0.085,0.088,0.087,0.081,,,0.081,0.094,0.095,0.096,0.117,0.118,0.117,0.086,0.086,0.084,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
4:08:08,37.0,,,,,,,,,,,,,,0.079,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.080,0.079,,,0.080,0.086,0.084,0.086,0.086,0.122,0.086,0.089,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.123,0.086,0.087,0.086,0.081,,,0.081,0.083,0.082,0.088,0.088,0.125,0.085,0.088,0.087,0.081,,,0.081,0.095,0.095,0.096,0.118,0.118,0.117,0.086,0.086,0.084,,,0.081,0.080,0.079,0.080,0.080,0.081,0.079,0.079,0.078,0.080,,,,,,,,,,,,,
4:15:40,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.078,0.078,0.081,0.081,0.081,0.079,,,0.079,0.086,0.084,0.086,0.086,0.123,0.086,0.090,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.124,0.086,0.087,0.086,0.081,,,0.082,0.083,0.083,0.089,0.088,0.126,0.085,0.088,0.087,0.081,,,0.081,0.095,0.095,0.096,0.119,0.119,0.119,0.086,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
4:23:12,37.0,,,,,,,,,,,,,,0.080,0.080,0.080,0.080,0.078,0.078,0.081,0.082,0.081,0.079,,,0.079,0.086,0.084,0.086,0.086,0.124,0.086,0.090,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.125,0.086,0.088,0.086,0.081,,,0.081,0.083,0.083,0.088,0.088,0.127,0.085,0.089,0.087,0.081,,,0.081,0.095,0.096,0.096,0.120,0.120,0.119,0.086,0.086,0.084,,,0.081,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
4:30:44,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.078,0.078,0.081,0.082,0.081,0.079,,,0.079,0.086,0.084,0.086,0.086,0.125,0.086,0.090,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.126,0.086,0.088,0.086,0.081,,,0.082,0.083,0.083,0.089,0.088,0.128,0.085,0.089,0.087,0.081,,,0.081,0.095,0.096,0.096,0.121,0.121,0.121,0.086,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
4:38:16,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.086,0.084,0.086,0.086,0.126,0.086,0.091,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.127,0.086,0.089,0.086,0.081,,,0.082,0.083,0.083,0.089,0.088,0.129,0.085,0.089,0.087,0.081,,,0.081,0.095,0.096,0.096,0.122,0.122,0.121,0.086,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
4:45:48,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.081,0.081,0.080,,,0.079,0.086,0.084,0.086,0.086,0.127,0.086,0.091,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.127,0.086,0.089,0.086,0.081,,,0.082,0.083,0.082,0.089,0.088,0.130,0.085,0.090,0.087,0.081,,,0.081,0.095,0.096,0.096,0.123,0.123,0.122,0.086,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.081,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
4:53:20,37.0,,,,,,,,,,,,,,0.080,0.081,0.080,0.080,0.077,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.086,0.086,0.128,0.086,0.091,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.128,0.086,0.090,0.086,0.081,,,0.082,0.084,0.083,0.089,0.088,0.131,0.085,0.090,0.087,0.081,,,0.081,0.095,0.096,0.097,0.124,0.124,0.124,0.086,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.079,0.078,0.081,,,,,,,,,,,,,
5:00:52,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.086,0.086,0.128,0.086,0.092,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.129,0.086,0.090,0.086,0.081,,,0.082,0.083,0.082,0.089,0.088,0.132,0.085,0.091,0.087,0.081,,,0.081,0.095,0.096,0.097,0.125,0.125,0.125,0.086,0.086,0.085,,,0.081,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
5:08:24,36.9,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.080,,,0.080,0.087,0.084,0.086,0.086,0.130,0.086,0.092,0.086,0.082,,,0.079,0.087,0.082,0.084,0.087,0.130,0.086,0.090,0.086,0.081,,,0.082,0.083,0.082,0.089,0.088,0.133,0.085,0.091,0.087,0.081,,,0.081,0.095,0.096,0.097,0.125,0.126,0.126,0.086,0.086,0.084,,,0.081,0.080,0.080,0.080,0.080,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
5:15:56,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.082,0.082,0.081,0.080,,,0.080,0.087,0.084,0.086,0.086,0.130,0.086,0.093,0.086,0.082,,,0.080,0.087,0.082,0.084,0.087,0.131,0.086,0.091,0.086,0.081,,,0.082,0.084,0.083,0.089,0.088,0.134,0.085,0.092,0.087,0.081,,,0.081,0.095,0.096,0.097,0.127,0.128,0.127,0.086,0.087,0.085,,,0.081,0.080,0.080,0.080,0.081,0.081,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
5:23:28,37.0,,,,,,,,,,,,,,0.080,0.081,0.081,0.080,0.078,0.078,0.081,0.082,0.081,0.079,,,0.080,0.087,0.084,0.086,0.086,0.131,0.086,0.093,0.086,0.082,,,0.080,0.087,0.082,0.084,0.087,0.132,0.086,0.091,0.086,0.081,,,0.082,0.083,0.082,0.089,0.088,0.134,0.085,0.092,0.087,0.081,,,0.081,0.095,0.096,0.097,0.128,0.129,0.128,0.086,0.087,0.085,,,0.081,0.080,0.080,0.080,0.080,0.080,0.079,0.080,0.078,0.081,,,,,,,,,,,,,
